user_id,anime_label_0,anime_label_1,anime_label_2,prediction
1,10.0,0.0,0.0,1
2,10.0,0.0,0.0,1
3,8.075471698113208,0.0,6.285714285714286,0
5,4.488584474885845,0.0,3.76,0
7,7.735714285714286,0.0,6.965909090909091,0
8,8.454545454545455,0.0,7.0,0
9,8.0,0.0,0.0,1
10,9.333333333333334,0.0,0.0,1
11,7.382978723404255,0.0,6.5,0
12,8.88888888888889,0.0,9.0,0
14,7.109589041095891,0.0,6.809523809523809,0
15,0.0,0.0,9.0,0
16,8.428571428571429,0.0,0.0,1
17,7.345622119815668,0.0,5.306451612903226,0
18,9.133333333333333,0.0,9.0,0
19,8.125,0.0,0.0,1
20,10.0,0.0,9.142857142857142,0
21,7.96875,0.0,6.2,0
22,10.0,0.0,0.0,1
23,9.666666666666666,0.0,9.692307692307692,0
24,8.333333333333334,0.0,7.8,0
25,8.214285714285714,0.0,8.0,0
26,10.0,0.0,8.0,0
27,8.63076923076923,0.0,8.0,0
28,9.5,0.0,0.0,1
29,7.361702127659575,0.0,6.166666666666667,0
30,8.222222222222221,0.0,0.0,1
31,7.770833333333333,0.0,7.9,0
32,8.818181818181818,0.0,7.0,0
33,8.833333333333334,0.0,0.0,1
34,8.733333333333333,0.0,8.333333333333334,0
36,9.75,0.0,8.0,0
37,7.909090909090909,0.0,7.666666666666667,0
38,7.021739130434782,0.0,4.902439024390244,0
39,9.568181818181818,0.0,8.5,0
40,9.25,0.0,8.142857142857142,0
41,8.828125,0.0,8.0,0
42,9.0,0.0,9.0,0
43,7.965116279069767,0.0,7.349397590361446,0
44,7.617647058823529,0.0,6.857142857142857,0
45,8.55,0.0,7.4,0
46,8.71195652173913,0.0,7.5,0
47,8.65,0.0,6.666666666666667,0
48,8.7,0.0,8.545454545454545,0
50,7.875,0.0,7.588235294117647,0
51,8.732394366197184,0.0,7.714285714285714,0
52,9.487804878048781,0.0,7.0,0
53,7.903225806451613,0.0,6.0,0
55,8.125,0.0,0.0,1
56,8.375,0.0,0.0,1
57,8.545454545454545,0.0,7.0,0
58,9.0,0.0,6.0,0
59,9.0,0.0,0.0,1
60,9.166666666666666,0.0,0.0,1
61,8.391304347826088,0.0,6.714285714285714,0
62,8.555555555555555,0.0,6.0,0
63,9.5,0.0,9.0,0
64,9.0,0.0,9.0,0
65,8.894736842105264,0.0,7.666666666666667,0
66,7.428571428571429,0.0,6.75,0
67,9.0,0.0,9.0,0
68,8.0,0.0,7.666666666666667,0
69,8.2,0.0,0.0,1
70,10.0,0.0,0.0,1
71,8.882352941176471,0.0,8.0,0
72,7.8,0.0,0.0,1
73,8.01526717557252,0.0,7.333333333333333,0
74,8.666666666666666,0.0,8.75,0
75,8.41304347826087,0.0,8.5,0
76,8.0,0.0,0.0,1
77,8.369047619047619,0.0,7.615384615384615,0
78,9.5,0.0,0.0,1
79,8.53225806451613,0.0,7.444444444444445,0
80,9.222222222222221,0.0,8.695652173913043,0
81,8.0,0.0,9.0,0
82,8.714285714285714,0.0,8.0,0
83,0.0,0.0,10.0,0
84,8.818181818181818,0.0,5.0,0
85,9.375,0.0,10.0,0
86,10.0,0.0,0.0,1
87,9.340909090909092,0.0,8.833333333333334,0
88,8.894736842105264,0.0,10.0,0
90,10.0,0.0,0.0,1
91,8.0,0.0,0.0,1
92,9.333333333333334,0.0,0.0,1
93,7.945945945945946,0.0,6.52,0
94,8.73913043478261,0.0,7.714285714285714,0
95,8.660377358490566,0.0,8.555555555555555,0
96,9.0,0.0,8.333333333333334,0
97,8.0,0.0,6.5,0
98,9.169230769230769,0.0,8.5,0
99,6.029411764705882,0.0,3.1666666666666665,1
100,9.75,0.0,10.0,0
101,10.0,0.0,0.0,1
102,7.571428571428571,0.0,6.833333333333333,0
103,8.285714285714286,0.0,0.0,1
104,7.75,0.0,6.333333333333333,0
105,8.090909090909092,0.0,6.75,0
106,8.015384615384615,0.0,6.571428571428571,0
107,8.203703703703704,0.0,7.55,0
108,7.533333333333333,0.0,6.8,0
109,8.36231884057971,0.0,8.025641025641026,0
110,9.434782608695652,0.0,8.0,0
111,7.36,0.0,7.0476190476190474,0
112,9.486486486486486,0.0,7.75,0
113,9.0,0.0,0.0,1
114,8.0,0.0,0.0,1
115,9.0,0.0,0.0,1
116,8.7,0.0,5.0,0
117,8.818181818181818,0.0,6.5,0
118,7.375,0.0,6.333333333333333,0
119,0.0,0.0,9.0,0
120,8.156862745098039,0.0,7.733333333333333,0
121,8.5,0.0,8.0,0
122,9.169491525423728,0.0,8.538461538461538,0
123,7.8743169398907105,0.0,6.214876033057851,0
124,7.882352941176471,0.0,0.0,1
125,6.942857142857143,0.0,7.4,0
126,8.19047619047619,0.0,8.0,0
127,6.9714285714285715,0.0,6.388888888888889,0
128,8.680851063829786,0.0,8.2,0
129,8.804347826086957,0.0,8.6,0
130,8.578125,0.0,7.285714285714286,0
132,8.65,0.0,7.0,0
134,9.8,0.0,9.5,0
135,7.86,0.0,7.03125,0
136,9.0,0.0,0.0,1
137,7.666666666666667,0.0,0.0,1
138,9.2,0.0,6.0,0
139,6.776923076923077,0.0,5.066666666666666,0
140,7.7,0.0,6.0,0
141,8.627906976744185,0.0,8.666666666666666,0
142,7.333333333333333,0.0,0.0,1
143,0.0,0.0,6.0,0
144,8.31578947368421,0.0,0.0,1
145,10.0,0.0,0.0,1
146,9.23076923076923,0.0,7.5,0
147,9.591836734693878,0.0,8.9,0
148,7.690476190476191,0.0,6.666666666666667,0
149,9.0,0.0,8.5,0
150,9.5,0.0,0.0,1
152,7.630434782608695,0.0,7.0,0
153,8.379310344827585,0.0,8.0,0
154,8.909090909090908,0.0,7.2,0
155,7.842105263157895,0.0,8.071428571428571,0
156,8.333333333333334,0.0,0.0,1
158,8.326530612244898,0.0,7.25,0
159,7.583333333333333,0.0,7.661016949152542,0
160,8.453900709219859,0.0,7.907692307692308,0
161,8.75,0.0,0.0,1
163,7.683673469387755,0.0,7.2,0
164,8.047619047619047,0.0,9.8,0
165,9.0,0.0,9.0,0
166,7.428571428571429,0.0,6.333333333333333,0
167,6.944444444444445,0.0,5.714285714285714,0
168,9.333333333333334,0.0,9.2,0
169,8.911111111111111,0.0,8.25,0
170,8.893617021276595,0.0,8.571428571428571,0
171,9.476190476190476,0.0,8.666666666666666,0
172,10.0,0.0,0.0,1
173,8.316666666666666,0.0,8.0,0
174,9.8,0.0,0.0,1
175,8.375,0.0,0.0,1
176,9.666666666666666,0.0,0.0,1
177,8.134328358208956,0.0,6.947368421052632,0
178,8.916666666666666,0.0,0.0,1
179,9.071428571428571,0.0,8.0,0
180,8.714285714285714,0.0,8.0,0
181,8.88888888888889,0.0,7.8,0
182,8.666666666666666,0.0,0.0,1
183,7.4958677685950414,0.0,6.380952380952381,0
184,8.461538461538462,0.0,7.5,0
185,7.868421052631579,0.0,7.75,0
186,8.13888888888889,0.0,7.0,0
187,7.357142857142857,0.0,6.0,0
189,8.207407407407407,0.0,5.769230769230769,0
190,8.151515151515152,0.0,6.0,0
191,7.545454545454546,0.0,5.111111111111111,0
192,8.137931034482758,0.0,7.1875,0
193,10.0,0.0,0.0,1
194,8.153846153846153,0.0,7.0,0
195,7.0,0.0,0.0,1
196,8.428571428571429,0.0,7.333333333333333,0
197,8.75,0.0,7.0,0
198,9.75,0.0,10.0,0
199,9.0,0.0,9.0,0
200,9.44,0.0,7.666666666666667,0
201,8.451612903225806,0.0,8.052631578947368,0
202,7.546511627906977,0.0,6.1,0
203,9.066666666666666,0.0,0.0,1
204,7.705882352941177,0.0,9.25,0
205,6.142857142857143,0.0,0.0,1
206,8.571428571428571,0.0,0.0,1
207,8.166666666666666,0.0,0.0,1
208,8.4375,0.0,8.714285714285714,0
209,8.333333333333334,0.0,0.0,1
210,8.905172413793103,0.0,7.828571428571428,0
211,7.233333333333333,0.0,7.0,0
212,0.0,0.0,9.0,0
213,9.738095238095237,0.0,8.0,0
214,8.135135135135135,0.0,6.666666666666667,0
215,9.6,0.0,8.333333333333334,0
216,8.208333333333334,0.0,8.0,0
217,7.574468085106383,0.0,6.578947368421052,0
218,6.0,0.0,0.0,1
219,8.732142857142858,0.0,7.0,0
220,9.9,0.0,9.666666666666666,0
222,7.777777777777778,0.0,7.25,0
223,0.0,0.0,10.0,0
224,8.777777777777779,0.0,0.0,1
225,8.194444444444445,0.0,7.8,0
226,7.889937106918239,0.0,7.546925566343042,0
227,8.5,0.0,7.0,0
228,8.348837209302326,0.0,8.428571428571429,0
229,10.0,0.0,9.0,0
230,7.266666666666667,0.0,6.0,0
231,9.451612903225806,0.0,10.0,0
232,7.32,0.0,7.0,0
233,10.0,0.0,10.0,0
234,7.25,0.0,6.666666666666667,0
235,7.415730337078652,0.0,6.841269841269841,0
236,8.333333333333334,0.0,7.0,0
238,10.0,0.0,0.0,1
239,9.181818181818182,0.0,0.0,1
241,7.9714285714285715,0.0,6.0,0
242,7.918918918918919,0.0,6.4,0
243,7.833333333333333,0.0,7.5,0
244,8.895348837209303,0.0,8.0625,0
245,7.89,0.0,7.161290322580645,0
246,7.615384615384615,0.0,7.0,0
247,7.560975609756097,0.0,7.176470588235294,0
248,8.430051813471502,0.0,7.578947368421052,0
249,7.107142857142857,0.0,6.863636363636363,0
250,8.049079754601227,0.0,6.642857142857143,0
251,9.142857142857142,0.0,0.0,1
252,7.675675675675675,0.0,6.666666666666667,0
253,8.061538461538461,0.0,4.8,0
254,9.75,0.0,10.0,0
255,8.272727272727273,0.0,8.0,0
256,8.668711656441717,0.0,8.344444444444445,0
257,8.5,0.0,0.0,1
258,7.72,0.0,7.0,0
259,8.8,0.0,9.0,0
260,8.555555555555555,0.0,7.5,0
261,7.746113989637306,0.0,7.078431372549019,0
262,7.666666666666667,0.0,6.0,0
263,8.333333333333334,0.0,8.0,0
264,8.090909090909092,0.0,0.0,1
265,8.117647058823529,0.0,7.0,0
266,7.894736842105263,0.0,6.5,0
268,8.13888888888889,0.0,6.5,0
269,7.566666666666666,0.0,6.75,0
270,7.75,0.0,6.0,0
271,8.345744680851064,0.0,6.514705882352941,0
272,8.3,0.0,7.133333333333334,0
273,6.243589743589744,0.0,5.666666666666667,0
275,8.272727272727273,0.0,0.0,1
